hour,kWh per capita,demand
201,0.942970833,2770636.902
202,0.956558333,2810559.694
203,0.947170833,2782977.342
204,0.932716667,2740508.111
205,0.9268875,2723380.853
206,0.898879167,2641086.768
207,0.879833333,2585126.299
208,0.875733333,2573079.679
209,0.879570833,2584355.022
210,0.927804167,2726074.203
211,0.9659125,2838044.108
212,0.978795833,2875897.917
213,0.9608375,2823132.743
214,0.885408333,2601506.764
215,0.798908333,2347352.464
216,0.7313875,2148962.753
217,0.677825,1991585.415
218,0.644704167,1894269.783
219,0.630170833,1851567.942
220,0.627254167,1842998.193
221,0.642433333,1887597.619
222,0.708375,2081347.425
223,0.832304167,2445476.103
224,0.923020833,2712019.812
225,0.950529167,2792844.798
226,0.966429167,2839562.178
227,0.957495833,2813314.257
228,0.944029167,2773746.498
229,0.940345833,2762924.127
230,0.9087625,2670125.978
231,0.893933333,2626554.919
232,0.8899625,2614887.818
233,0.894966667,2629591.061
234,0.948383333,2786539.909
235,0.988879167,2905524.768
236,1.002916667,2946769.751
237,0.984029167,2891274.498
238,0.907883333,2667542.809
239,0.819491667,2407830.416
240,0.748166667,2198263.301
241,0.693625,2038008.975
242,0.6601875,1939762.913
243,0.647470833,1902398.802
244,0.642404167,1887511.923
245,0.658904167,1935992.223
246,0.725679167,2132190.528
247,0.8471125,2488985.948
248,0.947041667,2782597.826
249,0.979429167,2877758.778
250,0.994825,2922994.815
251,0.987208333,2900615.524
252,0.970208333,2850666.124
253,0.958133333,2815187.359
254,0.9258875,2720442.653
255,0.905445833,2660380.947
256,0.8951125,2630019.548
257,0.8972,2636153.04
258,0.944370833,2774750.382
259,0.975820833,2867156.772
260,0.9716,2854755.12
261,0.956083333,2809164.049
262,0.895220833,2630337.852
263,0.823679167,2420134.128
264,0.765133333,2248114.759
265,0.706795833,2076707.517
266,0.657941667,1933164.206
267,0.633183333,1860419.269
268,0.620820833,1824095.772
269,0.6184375,1817093.063
270,0.6337,1861937.34
271,0.672179167,1974996.828
272,0.723904167,2126975.223
273,0.791125,2324483.475
274,0.852179167,2503872.828
275,0.861529167,2531344.998
276,0.842829167,2476400.658
277,0.834641667,2452344.146
278,0.820366667,2410401.341
279,0.789679167,2320235.328
280,0.766708333,2252742.424
281,0.763958333,2244662.374
282,0.818479167,2404855.488
283,0.853858333,2508806.554
284,0.867883333,2550014.809
285,0.8705875,2557960.193
286,0.8354,2454572.28
287,0.7794875,2290290.173
288,0.711225,2089721.295
289,0.653854167,1921154.313
290,0.6134625,1802475.518
291,0.5903,1734419.46
292,0.578470833,1699663.002
293,0.5767625,1694643.578
294,0.587645833,1726620.987
295,0.612208333,1798790.524
296,0.633470833,1861264.002
297,0.682125,2004219.675
298,0.7469,2194541.58
299,0.7778625,2285515.598
300,0.771704167,2267421.183
301,0.772625,2270126.775
302,0.771275,2266160.205
303,0.7371625,2165930.858
304,0.7182,2110215.24
305,0.7154875,2102245.373
306,0.77685,2282540.67
307,0.833858333,2450042.554
308,0.863391667,2536817.396
309,0.867591667,2549157.836
310,0.83305,2447667.51
311,0.768266667,2257321.121
312,0.697425,2049174.135
313,0.639308333,1878415.744
314,0.614733333,1806209.479
315,0.600283333,1763752.489
316,0.599529167,1761536.598
317,0.616720833,1812049.152
318,0.68925,2025154.35
319,0.818654167,2405369.673
320,0.912625,2681474.775
321,0.949079167,2788584.408
322,0.9651375,2835767.003
323,0.956695833,2810963.697
324,0.938766667,2758284.221
325,0.930075,2732746.365
326,0.898554167,2640131.853
327,0.880425,2586864.735
328,0.871770833,2561437.062
329,0.869120833,2553650.832
330,0.911845833,2679185.427
331,0.955283333,2806813.489
332,0.969066667,2847311.681
333,0.951929167,2796958.278
334,0.883725,2596560.795
335,0.798975,2347548.345
336,0.728895833,2141641.737
337,0.673816667,1979808.131
338,0.64495,1894992.09
339,0.632104167,1857248.463
340,0.629770833,1850392.662
341,0.645908333,1897807.864
342,0.708,2080245.6
343,0.8325625,2446235.138
344,0.916445833,2692701.147
345,0.946254167,2780283.993
346,0.959454167,2819068.233
347,0.9532375,2800802.423
348,0.935808333,2749592.044
349,0.925175,2718349.185
350,0.8914375,2619221.663
351,0.878766667,2581992.221
352,0.873204167,2565648.483
353,0.873508333,2566542.184
354,0.91725,2695063.95
355,0.959645833,2819631.387
356,0.976329167,2868650.358
357,0.955804167,2808343.803
358,0.8876875,2608203.413
359,0.800454167,2351894.433
360,0.733454167,2155035.033
361,0.6796375,1996910.903
362,0.648233333,1904639.179
363,0.632095833,1857223.977
364,0.632491667,1858387.016
365,0.649529167,1908446.598
366,0.709304167,2084077.503
367,0.832941667,2447349.206
368,0.922783333,2711321.989
369,0.9498125,2790739.088
370,0.961566667,2825275.181
371,0.9569625,2811747.218
372,0.9417,2766902.94
373,0.934295833,2745148.017
374,0.9025625,2651909.138
375,0.889979167,2614936.788
376,0.883320833,2595373.272
377,0.883229167,2595103.938
378,0.9204375,2704429.463
379,0.9580625,2814979.238
380,0.968970833,2847030.102
381,0.949670833,2790322.842
382,0.883729167,2596573.038
383,0.797979167,2344622.388
384,0.732091667,2151031.736
385,0.678604167,1993874.763
386,0.64935,1907920.17
387,0.635095833,1866038.577
388,0.633875,1862451.525
389,0.645154167,1895591.973
390,0.707520833,2078837.712
391,0.828820833,2435241.372
392,0.911308333,2677606.144
393,0.939316667,2759900.231
394,0.9522125,2797790.768
395,0.952179167,2797692.828
396,0.941604167,2766621.363
397,0.938754167,2758247.493
398,0.913129167,2682956.118
399,0.901341667,2648322.086
400,0.894279167,2627571.048
401,0.8978375,2638026.143
402,0.9330875,2741597.693
403,0.967154167,2841692.373
404,0.976995833,2870609.157
405,0.958979167,2817672.588
406,0.889629167,2613908.418
407,0.807204167,2371727.283
408,0.7384125,2169603.608
409,0.687125,2018910.675
410,0.651970833,1915620.702
411,0.6345,1864287.9
412,0.6340625,1863002.438
413,0.649525,1908434.355
414,0.709583333,2084897.749
415,0.839866667,2467696.241
416,0.922925,2711738.235
417,0.950045833,2791424.667
418,0.968883333,2846773.009
419,0.967779167,2843528.748
420,0.9550875,2806238.093
421,0.948004167,2785425.843
422,0.915625,2690289.375
423,0.891475,2619331.845
424,0.884229167,2598042.138
425,0.888883333,2611717.009
426,0.922683333,2711028.169
427,0.949483333,2789771.929
428,0.947695833,2784519.897
429,0.930554167,2734154.253
430,0.8755,2572394.1
431,0.802295833,2357305.617
432,0.742970833,2182996.902
433,0.68615,2016045.93
434,0.646658333,1900011.514
435,0.624279167,1834257.048
436,0.613829167,1803552.858
